"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","8/174","93/5433",0.0860215053763441,2.68594734890619,2.98275630835253,0.00945792537651516,0.133002075607244,0.123824154600429,"3560/6772/3601/6773/23529/8651/246778/10379",8
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","6/174","61/5433",0.0983606557377049,3.0712266817411,2.95888078107565,0.0127881986392687,0.155108321807706,0.144404940536765,"25939/684/85363/4599/4600/60489",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/174","61/5433",0.0983606557377049,3.0712266817411,2.95888078107565,0.0127881986392687,0.155108321807706,0.144404940536765,"5721/1514/567/6890/6891/10437",6
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","5/174","45/5433",0.111111111111111,3.46934865900383,3.02536513083972,0.0137874063829072,0.155108321807706,0.144404940536765,"710/714/717/713/712",5
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","5/174","45/5433",0.111111111111111,3.46934865900383,3.02536513083972,0.0137874063829072,0.155108321807706,0.144404940536765,"2209/714/717/713/712",5
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","4/174","30/5433",0.133333333333333,4.1632183908046,3.15991383159839,0.0145321484600875,0.155701590643794,0.144957270353755,"958/7535/6890/6891",4
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","4/174","31/5433",0.129032258064516,4.02892102335929,3.07605733427333,0.0162779950162475,0.166479494484349,0.154991435800634,"51056/6303/55748/57571",4
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/174","130/5433",0.0692307692307692,2.16167108753316,2.43835515516883,0.0229777525222586,0.22478236163079,0.209271064161531,"8938/51513/578/3560/958/4005/597/5371/2209",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","7/174","91/5433",0.0769230769230769,2.40185676392573,2.45287442541474,0.0259468996313619,0.243252184044018,0.226466360817589,"6614/958/29126/9672/201633/84628/80380",7
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","7/174","97/5433",0.0721649484536082,2.25328830430146,2.26533201584639,0.0351592880885203,0.316433592796682,0.294597824404865,"32/5608/8737/714/717/713/712",7
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","10/174","170/5433",0.0588235294117647,1.8367139959432,2.01598700652477,0.0453350209948014,0.392322297070397,0.3652497642901,"578/25939/5608/684/85363/8737/567/6890/6891/60489",10
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","8/174","128/5433",0.0625,1.95150862068966,1.9814263649386,0.0520982835576208,0.432234113658115,0.40240743213083,"948/834/1847/714/840/713/712/2621",8
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","3/174","27/5433",0.111111111111111,3.46934865900383,2.33953310590975,0.053789134144121,0.432234113658115,0.40240743213083,"578/5414/840",3
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","3/174","28/5433",0.107142857142857,3.34544334975369,2.26312756118458,0.0588748559037328,0.456787675115168,0.425266654259268,"1071/6272/948",3
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","9/174","156/5433",0.0576923076923077,1.8013925729443,1.84721303549862,0.0618611633113635,0.458042732642133,0.426435105477354,"958/5608/8743/948/834/1536/840/2081/3665",9
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/174","13/5433",0.153846153846154,4.80371352785146,2.49736921213876,0.0631081098306939,0.458042732642133,0.426435105477354,"55748/57571",2
