"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"hsa-miR-584-3p",5.54194842533373,4.58556349845569,5.80761252317263,5.32948243102564,6.14791719108402,5.86121100345716,5.82883464946806,4.38612115681485,5.08491465976794,5.31251996747495,4.65935375917005,5.28688114778816,4.76394266044725,5.38922261635589,4.72082566608984,4.26903314645524,5.35085080548338,5.02768487693716,4.36597242759338,5.02103547951136
"hsa-miR-584-5p",5.62293035092018,5.11852584893567,4.41074812818595,4.76234881564413,4.70265754339091,5.41953889151378,4.89578731646331,4.38612115681485,5.34091827027212,4.82781902461732,4.72082566608984,4.49505552836802,3.95791459863299,5.80915716469159,5.1906148602095,4.80992886572143,4.06004738366994,5.31505896631662,4.0232553523003,5.39403389536778
"hsa-miR-585-3p",6.14425035619052,5.64616265715789,5.76977173924945,5.5465858290081,5.70404195482129,5.41953889151378,5.74038793246835,4.65420637794429,6.45516280124451,5.98572811041913,5.09127669436522,6.26809748584725,5.34837407519116,6.5274770060604,5.62087961135541,5.08321336824898,4.84549005094437,5.26190685982807,5.3301998328509,6.20026107981327
"hsa-miR-587",5.41176518500698,5.64616265715789,4.67863534782274,4.76234881564413,4.51790555352995,5.21839371107679,5.19140472885276,5.07510472220949,5.4535175792155,5.70127180220197,4.52732060787705,5.08618931310448,3.95791459863299,5.33378150063115,5.15663931069209,5.33913738491959,4.34340782229781,4.66902676550963,4.1168637576909,5.2460279805281
"hsa-miR-589-5p",5.1647058401828,4.674686619928,4.30888505741176,4.53729606709084,4.45088131527337,4.85149920246126,5.05093696522523,4.48091134604775,5.37920505996061,4.87528859822269,3.71479501111816,3.77399632511117,3.28095631383106,5.5909612413426,4.41278152533848,4.3743439890385,4.16108148227718,4.40053792958373,3.69932952567316,4.42827641439251
"hsa-miR-590-3p",4.93073733756289,3.64385618977472,4.90448409790142,5.37538702682888,4.22804904788446,4.70487196445635,4.72137265947682,3.85897561429202,4.58856473740135,4.50652577904312,4.45680614923047,4.85249829878989,4.27947129564447,4.94906796585291,3.68257329734758,3.6667565918848,4.50589092972996,4.40053792958373,3.69932952567316,4.23189316164533
"hsa-miR-590-5p",5.58285703484424,5.48252564076792,5.60792206726114,5.18150015170461,4.96624587322494,5.37190729759515,5.5963388642052,6.15765009686171,6.01524777369894,5.72710360352266,4.94392132655349,5.82756500665014,5.83844759254846,5.99842118872913,5.95163441683292,5.36492255850577,5.26303440583379,5.72109918870718,5.82222027162153,5.2460279805281
"hsa-miR-591",5.62293035092018,4.9136075118231,4.97269265400426,5.07339181605292,4.64385618977472,5.16309613843601,4.29351763041742,4.48091134604775,5.08491465976794,4.87528859822269,4.45680614923047,4.49505552836802,4.12763327972587,5.44228003525258,4.85349670370232,3.82374936030827,4.50589092972996,4.66902676550963,3.69932952567316,5.19298316997399
"hsa-miR-592",5.49984588708321,4.87627136055013,4.97269265400426,4.82984955984469,4.64385618977472,4.77978500530113,4.41345868800798,4.48091134604775,5.65563804923464,5.37955165336549,4.65935375917005,4.91456452349394,3.76553474636298,5.54318652456517,4.81044310384517,4.21334728173344,4.42693561964834,4.58496250072116,4.20476675065461,4.89433274227769
"hsa-miR-593-3p",6.03055679206234,5.3533232911629,5.42559357765306,4.4535175792155,5.55182359572126,5.41953889151378,4.89578731646331,4.69432306012539,5.77610398807316,5.44360665147561,5.09127669436522,5.23916887866545,4.60050764534579,6.55197736018086,5.37816477987163,5.14404636961671,4.78345665436024,4.82323984413102,4.97773784924282,5.02103547951136
"hsa-miR-595",6.03055679206234,4.48992821940518,4.97269265400426,4.69097573834328,4.96624587322494,4.98413359454098,5.37885838327003,4.77135740899056,5.4535175792155,4.72846476509253,4.72082566608984,4.78816365703777,4.60050764534579,6.16591193893569,4.93545974780529,4.80992886572143,4.96162332828694,5.09000652990382,4.20476675065461,5.48510476108097
"hsa-miR-596",5.49984588708321,4.75862298244024,4.50525580093216,4.82984955984469,5.14689956034359,4.25625587320273,4.62585493136806,4.17472598770613,4.7734689279052,4.67638025546692,4.45680614923047,4.64904056563445,3.95791459863299,5.15421053058834,4.52293456094346,4.26903314645524,4.06004738366994,4.58496250072116,3.69932952567316,4.89433274227769
"hsa-miR-597-5p",5.69932952567316,4.674686619928,5.42559357765306,5.12845838414693,5.73254056130812,5.16309613843601,4.16349873228288,4.23112515787905,5.48928602262588,4.96532254836725,4.77978500530113,5.3327079336406,4.65706830120158,5.80915716469159,5.46368784220126,4.69265037003553,4.78345665436024,5.31505896631662,4.70431867776083,4.67976157351685
"hsa-miR-598-3p",5.69932952567316,5.45746296464855,4.90448409790142,4.82984955984469,4.81403764753998,5.59604063267114,4.97544676564096,4.69432306012539,5.48928602262588,5.20593983247088,4.72082566608984,4.78816365703777,4.04526821513853,5.5909612413426,5.40735275114004,5.08321336824898,4.84549005094437,4.66902676550963,4.28762004411207,5.57076649652761
"hsa-miR-599",4.65191274464578,4.33413917883824,3.81044310384517,2.63923216324928,3.51475349843975,4.14730669878029,3.47897180503294,2.88752527074159,4.2149019101607,4.31469652565629,3.58856473740135,3.63343121035563,2.96162332828694,4.70984201927331,3.47897180503294,3.74738739965272,2.81352468929781,4.07124781946144,3.10936055940423,4.33342373372519
"hsa-miR-600",4.72683121703249,4.71753934339116,4.30888505741176,4.76234881564413,4.64385618977472,3.22650852980868,4.97544676564096,4.38612115681485,5.08491465976794,5.09043004232162,2.9297909977186,4.32337006906127,3.86492897228979,4.52544250601812,4.62527048937469,4.03121873061072,4.34340782229781,3.94204525991605,4.70431867776083,4.00450139223494
"hsa-miR-601",4.65191274464578,3.73009646559547,3.95233356636969,4.06004738366994,3.51475349843975,4.25625587320273,2.60407132366886,2.74200621086674,4.65306001710456,3.92314918047231,4.65935375917005,4.91456452349394,3.54349588342577,4.79441586635011,3.86096279785812,3.58135124716878,3.56803210477128,3.46727948045998,3.57288966842058,3.4032677223393
"hsa-miR-603",1.22650852980868,1,1.29278174922785,1.20789285164133,1.02856915219677,1.25701061820602,1.4276061727819,1,1.0703893278914,1,1.0703893278914,1.18269229751619,1,1.36176835941915,1,1,1.14404636961671,1.28688114778816,1.06350294230616,1.24488705912353
"hsa-miR-604",4.79805051476751,4.22032995487956,4.50525580093216,4.27052894238072,4.81403764753998,4.85149920246126,4.29351763041742,4.23112515787905,4.7734689279052,4.44559429134118,3.83187724119167,4.01881218574282,3.65878273401283,5.68229237143083,4.97498811199193,4.42425028608405,3.56803210477128,4.29939120612683,3.28095631383106,4.23189316164533
